"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"36","Loop","53.333333333333336",""
"128","FoundU","52.333333333333336","App to track and report lost id card UMass  | great project. Love the story-presentation. | "
"31","ChargeShare","45.0",""
"22","Nutrigang","43.666666666666664","Yeah this is pretty cool. Food identification feature that right now does reverse image search, but maps it to a nutrition database to get an idea how ""healthy"" a food is. Really good mock up too  | "
"64","UClass","42.666666666666664",""
"79","Traveler's Quest","38.666666666666664","Game to encourage people to travel  | "
"24","Campus Pulse","37.666666666666664","Real time event heat map, make events, send invites, organization/group capabilities  | "
"100","ShelfSync","34.0","Cheaper version of AirTags using QR codes. Used last reported location to track items | "
"61","Modista","14.666666666666666",""
"144","PartyRank","7.0",""
"5","Random Flag Generator","4.666666666666667",""
"158","Expenser","4.666666666666667","No one present, no table setup  | "
