"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"72","Dice Aid","54.0","Just awesome.  | "
"134","Braille Assist","50.0","Text to braille visually on a 2x3 box of pistons  | Demo didnt work and they have shown the video demo | Two out of three members were not present | "
"2","BitCrush Pedal","43.0",""
"97","Cruising Keeper of Ducks Under Control with Kaotic Sprays","35.0",""
"147","Autonomous Mechanical Projectile Launcher","30.0","cool project hand-tracking mechanical shooting  | "
"68","little walking dude","7.0",""
"115","Coffee Tabletop RPG","7.0","Missing  | "
"20","Project Saturn","4.666666666666667","Missing | "
"153","MechArm","4.666666666666667","Missing | "
"161","3D Object Scanner","4.666666666666667","Missing  | No one present, no table setup  | "
