"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"85","SpeedPUB","57.0",""
"69","RealityPaint","52.666666666666664","Great idea. Lots of applications. Cool.  | "
"139","AromaVerse","51.333333333333336",""
"117","Plowtion","51.0",""
"80","Piano Rotation Analyzer","50.0","Piano teacher. Helps teach arm rotation when playing piano. | "
"34","qSound","48.0",""
"136","Flappy Bird Carousel","47.333333333333336","Flappy bird on a 3d cylinder, with pipes moving as two halves on stepper motors. I'm pretty impressed  | "
"152","Ver.tech","44.0","cool 3d.js animation proj | "
"13","DevTrade","42.666666666666664",""
"3","Hum2MIDI","37.333333333333336",""
"56","University Identity System","37.0","Blockchain way of logging in to uni halls.  | "
"6","SpeakHire","36.0",""
"125","Class Chatter","35.666666666666664",""
"127","PressSure","35.0","BP tracker. Maintains and records trends. Possible use of ML in the future  | "
"156","BetIt","34.333333333333336","Bet on yourself to complete tasks. | "
"103","Celestial Simulator","31.333333333333332","Space visualization/generator. | "
"154","onedef","31.0",""
"118","ScrubData - Automated Data Cleaning","26.333333333333332",""
"137","Meetcode","25.666666666666668","Essentially a data vis of a competitive leetcode site | "
"148","Truth Lens","22.666666666666668",""
"8","RoomMingle","7.0","Missing  | "
"30","Catnap","7.0","Missing | "
"66","Jousting Bots","7.0",""
"92","TUI file browser","7.0",""
"142","Dungeon Crawler","7.0",""
"126","Light Up The World","4.666666666666667",""
