"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"96","magic algorithms","55.666666666666664",""
"99","Peter Parker","46.333333333333336","Spot hero simplified  | Wonderful project with great practical use. UI built with only vanilla JS.  | "
"1","2D fun game!!!","46.0",""
"57","MemPaint","45.666666666666664","Memory game to match colors in a 5x5 grid. Alright little game, looks fun | "
"93","Kitchen Genius","43.666666666666664",""
"48","Sole Seeker","41.0","Foot pressure sensor on different parts of the foot to motivate creation and purchasing of pediatric soles | "
"105","ListBuddy","40.666666666666664","Simplified Notion for tracking | "
"124","Workout Llama","39.0",""
"52","USwap - UMass Resource Sharing Hub","38.333333333333336","Yard sale style website for textbook, iclicker, class supplies. UI is good, but not functional  | It can be considered UMass-Related Hack | "
"29","U-Sell","38.0",""
"87","The Wave","37.0",""
"141","Common Grounds","29.0",""
"104","World Map Game","14.666666666666666","Geoguesser simplified | "
"12","EvoSim","2.3333333333333335","Missing  | "
"78","Global Volunteer Tracker","2.3333333333333335",""
