"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"37","BrickBender","52.666666666666664",""
"133","SafeSteps","52.333333333333336","Alternate pathing app to maximize periphery of blue box emergency boxes | "
"123","Ascend UMass","49.0","rock climbing. Cool for umass students. | "
"116","UMacro","48.666666666666664",""
"19","UHelp","47.333333333333336","Mental health resource for UMass students. Image recognition + embedding search for project to find resources. | It can be considered for novel hack category | "
"160","Check My Professor AI Assistant","47.333333333333336","Google AI summary like feature for professors, take highlighted professor name and search on rate my professor, give back AI generated summary. Chrome extension, which is cool. | "
"23","UMate : Bumble for Roommates","47.0","Very good web mock-up, hosted on AWS and Mongodb, web architecture.  | "
"25","Easy Minutes","46.666666666666664","USB mic box that could plug into a display and create minutes/ | "
"46","UMass BITES","46.666666666666664","Calorie tracker, but for UMass dining halls. Other unis have something similar  | I would use this! | "
"42","UMassGrades","46.0","UMass for grade distribution chart across classes and prof. Like UIUC | "
"55","easely","44.666666666666664","Simplified version of Notion. USP is canvas integration  | "
"138","YuMass","44.333333333333336",""
"18","UFound","43.333333333333336","App for lost and found. Vector search to look for lost items | "
"49","UFound-It","42.666666666666664","Lost and found lockbox with app connectivity  | "
"83","CS220-bot","42.333333333333336","VSCode linter, but not LLM based! Shocking (good). Most accurately a preprocessor. Cool! | "
"145","UResources","42.0",""
"50","AI Hardware Sorter","41.666666666666664","Hardware sorter, looks a little rube Goldbergian but is entirely functional  | It can fit into embedded system track | "
"86","bunch","41.333333333333336",""
"38","UMass Food Finder","41.0",""
"53","UMass Study Spaces","41.0","Study room reservations based on classrooms in building. Not using maps so they could define ""building"" schema. 3d rendering | "
"51","URateMyClass","40.666666666666664","Standard review site | "
"4","StorMe","40.333333333333336","4 | "
"150","UMap","40.333333333333336",""
"159","CICS Showdown","40.333333333333336","Fun, professor specific, basic turn based RPG | "
"67","Minute Macros","39.333333333333336",""
"109","UHitch","39.333333333333336","109 | "
"135","UMass Eats","38.333333333333336",""
"113","UMass - Live Onboarding Tracker","37.333333333333336",""
"41","USocial","29.666666666666668","Social platform to fund unaffiliated events and creat new ones | "
"155","UMass Duck Defense","24.0","Duck shooting game by placing towers | The score is only if you consider for UI/UX category. | "
"91","Sam the Minuteman discord bot","17.333333333333332",""
"62","FriendZone","7.0",""
"112","ZeroByte","7.0",""
"43","Good Luck Umass","4.666666666666667",""
