"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"106","NekoPix","52.333333333333336","really cool llm project. Use chatgpt.  | "
"102","StoryBytes","50.333333333333336","Story book generator with text, images and voice. | 10 | "
"98","Aesthetech","49.0",""
"88","Ai-Companion","48.333333333333336","Good concise presentation. | "
"33","Codeflow","46.333333333333336",""
"151","Amherst PricePatrol","45.666666666666664",""
"130","SyntheSearch","44.333333333333336","Research paper summary and synthesis. | "
"76","CodeCompanion","44.0","Cool idea but I do not see innovation as they simply use llm api to query | "
"90","Maple.ai","43.0",""
"114","ROADMASS","42.666666666666664","114 | "
"73","SamVsGoose.ai","41.666666666666664",""
"54","SuperAI","41.333333333333336",""
"39","LectureMate","40.666666666666664",""
"110","Polyglot","36.0",""
"84","UMealPal","29.666666666666668","Nutrition based chat bot  | "
"132","StockSense","20.0","Simple OpenAI wrapper for stock analysis  | "
"120","wizard wizard!!","7.0",""
"40","Legal-Ease","4.666666666666667",""
"59","Practice Exam Generator (PEG)","4.666666666666667",""
"119","reSearch","4.666666666666667",""
